band,spanish,pos,corpus,prob,dictionary,revert,note,verdict,shared,shared_dict
useful,cumplimiento,n,rispetto,0.209,,,dictionary offered nothing,neither,,
useful,rescatar,vblex,salvare,0.361,,,dictionary offered nothing,corpus,rescue,
useful,ronda,n,ciclo,0.182,ronda,,corpus beats dictionary 10.0x,both,round,beat patrol
useful,detectar,vblex,individuare,0.161,rilevare,,corpus beats dictionary 2.5x,both,detect,detect
useful,concreto,n,particolare,0.357,,,dictionary offered nothing,neither,,
useful,detenido,n,detenuto,0.181,arrestato,,corpus beats dictionary 2.6x,both,prisoner,arrested
useful,cuestionar,vblex,mettere,0.221,,,dictionary offered nothing,neither,,
useful,avenida,n,viale,0.223,,,dictionary offered nothing,corpus,avenue,
wider,gordo,adj,grosso,0.153,grasso,,corpus beats dictionary 1.7x,both,fat,fat
wider,incremento,n,aumento,0.465,incremento,,corpus beats dictionary 4.0x,dictionary,,increment
wider,nave,n,nave,0.259,vascello,,corpus beats dictionary 3.1x,both,ship,ship vessel
wider,carecer,vblex,mancare,0.163,,,dictionary offered nothing,corpus,lack lacking,
wider,tonto,adj,stupido,0.215,,,dictionary offered nothing,corpus,stupid,
wider,alerta,n,allarme,0.211,allerta,,corpus beats dictionary 1.9x,both,alarm,alarm
wider,básicamente,adv,essenzialmente,0.181,,,dictionary offered nothing,corpus,basically,
wider,deportivo,n,margine,0.167,,,dictionary offered nothing,neither,,
wider,calificar,vblex,definire,0.334,,,dictionary offered nothing,neither,,
wider,originalmente,adv,originariamente,0.189,,,dictionary offered nothing,corpus,originally,
wider,colgar,vblex,impiccare,0.239,appendere,,corpus beats dictionary 1.7x,both,hang,hang
wider,hundir,vblex,affondare,0.371,,,dictionary offered nothing,corpus,sink,
wider,cubierta,n,ponte,0.314,coperta,,corpus beats dictionary 6.2x,both,deck structure,deck
wider,establecimiento,n,istituzione,0.154,stabilimento,,corpus beats dictionary 4.1x,dictionary,,establishment
wider,gracioso,n,spiritoso,0.177,,,dictionary offered nothing,neither,,
wider,mama,n,seno,0.284,mammella,,corpus beats dictionary 3.3x,both,breast,breast
wider,presionar,vblex,esercitare,0.192,premere,,corpus beats dictionary 10.7x,dictionary,,press
wider,recuperación,n,ripresa,0.463,recupero,,corpus beats dictionary 2.3x,both,recovery,recovery retrieval
wider,borde,adj,acido,0.676,,,dictionary offered nothing,neither,,
wider,borde,n,orlo,0.348,bordo,,corpus beats dictionary 3.9x,both,border brink edge margin,border edge margin rim
wider,ascender,vblex,ammontare,0.209,,,dictionary offered nothing,neither,,
wider,lastimar,vblex,fare,0.173,,,dictionary offered nothing,corpus,cause damage pain physical,
wider,fallecer,vblex,morire,0.286,decedere,,corpus beats dictionary 6.9x,both,die,die
wider,invitado,adj,invitare,0.298,,,dictionary offered nothing,neither,,
wider,invitado,n,ospite,0.542,invitato,,corpus beats dictionary 8.1x,both,guest,guest
wider,lástima,n,peccato,0.305,pena,,corpus beats dictionary 10.0x,both,pity,pity
wider,vicepresidente,n,vicepresidente,0.402,,,dictionary offered nothing,corpus,president vice,
wider,asiento,n,posto,0.327,sedile,,corpus beats dictionary 3.8x,both,seat,seat
wider,logro,n,risultato,0.338,traguardo,,corpus beats dictionary 10.8x,neither,,
wider,acostumbrar,vblex,abituare,0.317,,,dictionary offered nothing,corpus,accustom,
wider,negativa,n,rifiuto,0.339,negazione,,corpus beats dictionary 19.5x,corpus,denial refusal,
wider,asesinar,vblex,uccidere,0.485,assassinare,,corpus beats dictionary 2.5x,dictionary,,murder
wider,poderoso,adj,potente,0.554,,,dictionary offered nothing,corpus,powerful,
wider,rechazo,n,rifiuto,0.21,,,dictionary offered nothing,corpus,refusal rejection,
wider,básico,adj,fondamentale,0.297,,,dictionary offered nothing,corpus,basic fundamental,
wider,cerro,n,crinale,0.158,,,dictionary offered nothing,neither,,
wider,lanza,n,lancia,0.193,,,dictionary offered nothing,corpus,lance spear,
wider,cancelar,vblex,cancellare,0.208,,,dictionary offered nothing,corpus,cancel,
wider,gozar,vblex,godere,0.264,,,dictionary offered nothing,corpus,enjoy,
wider,portar,vblex,comportare,0.26,portare,,corpus beats dictionary 8.6x,dictionary,,bear carry wear
wider,optar,vblex,scegliere,0.271,optare,,corpus beats dictionary 1.9x,dictionary,,opt
wider,reforzar,vblex,rafforzare,0.609,,,dictionary offered nothing,corpus,reinforce strengthen,
wider,casualidad,n,caso,0.483,,,dictionary offered nothing,corpus,accident chance coincidence,
wider,coca,n,coca,0.249,,,dictionary offered nothing,corpus,coca cocaine coke cola,
wider,regular,vblex,regolamentare,0.276,regolare,,corpus beats dictionary 2.9x,both,control regulate,adjust control regulate
wider,poema,n,poesia,0.441,poema,,corpus beats dictionary 5.1x,both,poem,literary piece poem verse
wider,arruinar,vblex,rovinare,0.468,,,dictionary offered nothing,corpus,ruin,
wider,cometido,n,compito,0.25,ruolo,,corpus beats dictionary 3.7x,corpus,task,
wider,descarga,n,scarico,0.174,,,dictionary offered nothing,corpus,unloading,
wider,oscuridad,n,buio,0.369,oscurità,,corpus beats dictionary 1.8x,both,darkness,darkness obscurity
wider,debatir,vblex,discutere,0.425,,,dictionary offered nothing,corpus,debate,
wider,resaltar,vblex,sottolineare,0.342,evidenziare,,corpus beats dictionary 5.2x,both,emphasize out,emphasize highlight out
wider,censo,n,censimento,0.232,,,dictionary offered nothing,corpus,census,
wider,argumentar,vblex,sostenere,0.174,argomentare,,corpus beats dictionary 4.6x,dictionary,,argue case make
wider,legado,n,eredità,0.407,retaggio,,corpus beats dictionary 7.7x,both,legacy,legacy
wider,pedazo,n,pezzo,0.386,,,dictionary offered nothing,corpus,chunk hunk piece,
wider,burlar,vblex,prendere,0.188,,,dictionary offered nothing,neither,,
wider,descartar,vblex,escludere,0.238,,,dictionary offered nothing,corpus,out rule,
wider,denominar,vblex,definire,0.239,denominare,,corpus beats dictionary 17.6x,dictionary,,name
wider,recepción,n,ricevimento,0.182,ricezione,,corpus beats dictionary 10.5x,both,reception,reception
wider,tele,n,TV,0.181,televisione,,corpus beats dictionary 2.3x,unknown,,television
wider,adelantar,vblex,anticipare,0.197,,,dictionary offered nothing,corpus,advance anticipate bring forward,
wider,redactar,vblex,elaborare,0.155,,,dictionary offered nothing,corpus,law write,
wider,cuenca,n,bacino,0.36,,,dictionary offered nothing,corpus,basin catchment,
wider,desaparición,n,scomparsa,0.27,sparizione,,corpus beats dictionary 2.7x,both,demise disappearance,disappearance
wider,finalidad,n,scopo,0.274,finalità,,corpus beats dictionary 2.3x,both,aim,aim purpose
wider,consumir,vblex,consumare,0.402,mangiare,,corpus beats dictionary 9.6x,both,consume,consume
wider,presidir,vblex,presiedere,0.367,,,dictionary offered nothing,corpus,preside,
wider,pasta,n,soldo,0.238,pasta,,corpus beats dictionary 1.7x,both,money,dough pasta paste
wider,regulación,n,regolamentazione,0.359,regolamento,,corpus beats dictionary 3.2x,both,regulation,regulation
wider,estallar,vblex,scoppiare,0.325,esplodere,,corpus beats dictionary 6.9x,both,break burst explode out,blow explode fire
wider,titular,n,titolo,0.237,,,dictionary offered nothing,corpus,headline,
wider,cancha,n,campo,0.22,,,dictionary offered nothing,corpus,field,
wider,dinámica,n,dinamica,0.434,,,dictionary offered nothing,corpus,dynamics,
wider,retener,vblex,trattenere,0.21,,,dictionary offered nothing,corpus,back hold keep withhold,
wider,policial,adj,polizia,0.605,,,dictionary offered nothing,corpus,police,
wider,estima,n,stima,0.207,,,dictionary offered nothing,corpus,esteem respect,
wider,fabricación,n,produzione,0.441,fabbricazione,,corpus beats dictionary 3.7x,both,manufacturing,manufacturing
wider,importe,n,importo,0.431,,,dictionary offered nothing,corpus,sum,
wider,ocasionar,vblex,causare,0.219,,,dictionary offered nothing,corpus,cause,
wider,librar,vblex,liberare,0.178,,,dictionary offered nothing,corpus,deliver free,
wider,enfocar,vblex,affrontare,0.172,,,dictionary offered nothing,neither,,
wider,magnitud,n,portata,0.158,,,dictionary offered nothing,neither,,
wider,plástico,adj,plastico,0.276,,,dictionary offered nothing,corpus,plastic,
wider,reporte,n,rapporto,0.165,,,dictionary offered nothing,corpus,report,
wider,semejante,adj,simile,0.235,tale,,corpus beats dictionary 4.9x,corpus,similar,
wider,transferencia,n,trasferimento,0.548,bonifico,,corpus beats dictionary 19.8x,both,transfer,transfer
wider,atrapar,vblex,prendere,0.234,catturare,,corpus beats dictionary 2.9x,both,catch get,capture catch
wider,dispositivo,adj,disposizione,0.199,,,dictionary offered nothing,neither,,
wider,pesado,adj,pesante,0.555,,,dictionary offered nothing,corpus,heavy,
wider,precioso,adj,bello,0.33,prezioso,,corpus beats dictionary 3.7x,dictionary,,precious
wider,be,n,sì,0.713,,,dictionary offered nothing,neither,,
wider,doña,n,donna,0.236,,,dictionary offered nothing,corpus,lady woman,
wider,obedecer,vblex,obbedire,0.285,,,dictionary offered nothing,corpus,obey,
wider,cansar,vblex,stancare,0.25,,,dictionary offered nothing,corpus,tire,
wider,apartado,n,paragrafo,0.701,,,dictionary offered nothing,corpus,paragraph,
wider,derribar,vblex,abbattere,0.243,,,dictionary offered nothing,corpus,bring demolish down knock,
wider,colonial,adj,coloniale,0.424,,,dictionary offered nothing,corpus,colonial,
wider,consentimiento,n,consenso,0.511,,,dictionary offered nothing,corpus,agreement consent permission,
wider,conveniente,adj,opportuno,0.218,conveniente,,corpus beats dictionary 9.5x,both,opportune suitable,convenient suitable
