spanish,reason,note
ma,not Spanish,"Italian, riding in from untranslated lines."
miss,not Spanish,English.
wow,not Spanish,English.
play,not Spanish,English.
municipalidad,no usable card,"Rare, and the corpus offered only `mamma`, which is noise."
ello,no usable card,A pronoun already covered in the pronoun section; `campanello` is noise.
verga,not wanted,"Vulgar, and `piede` is noise."
puto,not wanted,"Vulgar, and `posto` is noise."
carajo,not wanted,"Vulgar, and the card is noise."
pienso,inflected form,First person of `pensar`. The fodder sense is real but rare.
ido,inflected form,Past participle of `ir`.
dicha,inflected form,Feminine participle of `decir`. The happiness sense is literary.
limpia,inflected form,Feminine of `limpio`.
mate,inflected form,"Read as a form of `matar`; `ucciso` is killed, not the drink."
gane,inflected form,Subjunctive of `ganar`.
miro,inflected form,First person of `mirar`.
tocado,inflected form,Past participle of `tocar`.
mantenido,inflected form,Past participle of `mantener`.
tomada,inflected form,Feminine participle of `tomar`.
corazones,inflected form,"Plural of `corazón`, which is the lexicon entry."
bolívar,proper noun,A surname and a currency.
medina,proper noun,"A surname; its card read `onorevole`, from Europarl."
marta,proper noun,"A given name. `zibellino` is the sable, a different sense."
colón,proper noun,A surname and a currency.
be,not Spanish,"The name of the letter B, and letter names are excluded."
info,not Spanish,An abbreviation.
pendejo,not wanted,Vulgar.
miguel,proper noun,A given name.
puebla,proper noun,A Mexican city.
xi,not Spanish,A Greek letter and a surname.
po,not Spanish,An Italian river.
vs,not Spanish,An abbreviation of versus.
pm,not Spanish,A clock abbreviation.
sub,not Spanish,"A prefix, not a word."
mini,not Spanish,A prefix.
dejo,inflected form,First person of `dejar`.
tomo,inflected form,First person of `tomar`; the volume sense is rare.
saca,inflected form,Third person of `sacar`.
rara,inflected form,Feminine of `raro`.
acompañado,inflected form,Past participle of `acompañar`.
torno,inflected form,Read as a form of `tornar`; the lathe sense is rare and it occurs almost only in `en torno a`.
miar,no usable card,A rare variant of `maullar`; no corpus evidence at all.
ojalar,no usable card,Rare; no corpus evidence.
peorar,no usable card,A non-standard variant of `empeorar`.
numerar,no usable card,No corpus evidence.
paginar,no usable card,No corpus evidence.
as,not wanted,"The card was `asso`, the playing card. Not vocabulary worth a slot."
ca,not Spanish,An abbreviation; its card answered `ca`.
ex,not wanted,"A prefix and a borrowing, identical in both languages."
go,not Spanish,"English, and the board game."
tv,not Spanish,"An abbreviation, identical in both languages."
ni,not wanted,"Excluded at Rachel's request. Its readings were `non` (the bare negator, which beats nothing), `ne`, and the letter `O`. The `ni ... ni` construction is a conjunction and belongs in a section."
mi,not wanted,The noun reading is the musical note; the common `mi` is a possessive determiner and belongs in a section.
sino,not wanted,"A conjunction -- `no X sino Y`. Its only card was a noun reading answering `ma`, which is the conjunction sense leaking into the noun slot."
pero,not wanted,A conjunction. Its noun reading is a pear tree.
cualquiera,not wanted,A determiner. Its noun reading is `a nobody`.
yo,not wanted,"A pronoun. Its noun reading is a tagger artifact -- `io` is tagged n as well as prn in Italian, so the glue guard could not see it as glue. Pronouns are taught in a section."
so,not wanted,Archaic outside `so pena de`. No corpus evidence.
sub,not Spanish,"A prefix, not a word."
vs,not Spanish,An abbreviation of versus.
pro,not wanted,"As a preposition it is rare in Spanish. Its card read `pro, quanto, vi` -- the last two noise, and the band came from the English abbreviation."
