rank,verb,aggregated,infinitive_zipf,note
256,emitir,6.47e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
257,integrar,6.47e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
259,dividir,6.46e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
261,cagar,6.40e-05,4.04,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
262,sorprender,6.38e-05,3.8,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
267,ordenar,6.26e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
272,agradecer,6.18e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
275,rodear,6.16e-05,3.24,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
278,casar,5.98e-05,3.88,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
283,otorgar,5.87e-05,3.8,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
285,afectar,5.81e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
289,prometer,5.74e-05,3.54,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
290,ignorar,5.74e-05,4.11,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
291,disponer,5.73e-05,4.0,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
295,durar,5.66e-05,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
298,sugerir,5.60e-05,3.73,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
299,comunicar,5.60e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
300,fijar,5.59e-05,3.88,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
301,dudar,5.54e-05,3.96,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
303,apuntar,5.52e-05,3.74,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
307,consistir,5.41e-05,2.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
308,disparar,5.40e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
311,implicar,5.34e-05,3.4,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
312,odiar,5.33e-05,3.76,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
313,extender,5.32e-05,3.96,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
314,perdonar,5.32e-05,3.85,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
316,instalar,5.24e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
317,agarrar,5.19e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
322,transformar,5.05e-05,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
323,introducir,5.04e-05,4.08,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
326,separar,5.00e-05,4.01,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
327,concluir,4.98e-05,3.96,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
330,enterar,4.95e-05,3.59,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
333,reflejar,4.88e-05,3.68,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
334,manifestar,4.87e-05,3.72,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
335,fundar,4.87e-05,3.74,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
337,invitar,4.86e-05,3.95,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
339,brindar,4.81e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
343,interpretar,4.77e-05,4.11,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
347,convocar,4.71e-05,3.9,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
348,pegar,4.69e-05,4.06,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
350,insistir,4.64e-05,3.85,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
351,comparar,4.63e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
352,exponer,4.62e-05,4.04,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
355,acusar,4.59e-05,3.79,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
357,trasladar,4.59e-05,3.8,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
358,opinar,4.57e-05,3.84,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
359,incorporar,4.54e-05,3.89,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
360,atraer,4.53e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
361,conceder,4.51e-05,3.71,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
362,alegrar,4.50e-05,3.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
363,animar,4.48e-05,3.67,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
364,reclamar,4.47e-05,4.08,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
365,sentar,4.46e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
366,marchar,4.45e-05,3.98,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
367,costar,4.43e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
368,engañar,4.42e-05,4.11,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
370,bloquear,4.36e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
374,operar,4.28e-05,4.11,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
377,encargar,4.27e-05,3.38,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
378,coincidir,4.27e-05,3.72,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
379,impulsar,4.26e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
380,limitar,4.25e-05,3.93,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
382,valer,4.21e-05,3.93,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
384,golpear,4.20e-05,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
386,liberar,4.19e-05,4.08,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
387,molestar,4.16e-05,3.96,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
388,rendir,4.15e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
389,acudir,4.14e-05,4.03,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
390,advertir,4.14e-05,3.62,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
394,conectar,4.08e-05,4.06,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
395,revelar,4.08e-05,3.87,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
396,arrancar,4.03e-05,3.95,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
398,equivocar,4.02e-05,3.03,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
400,esconder,4.00e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
402,alimentar,3.97e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
403,sumar,3.96e-05,4.03,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
409,beneficiar,3.84e-05,3.67,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
410,avisar,3.84e-05,3.89,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
411,nombrar,3.83e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
412,vincular,3.82e-05,3.41,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
413,emplear,3.82e-05,3.89,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
414,intervenir,3.81e-05,4.06,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
415,recorrer,3.78e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
416,actualizar,3.76e-05,3.83,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
417,perseguir,3.72e-05,3.99,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
418,distribuir,3.72e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
419,consultar,3.69e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
420,tender,3.68e-05,3.45,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
422,soñar,3.67e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
423,juntar,3.67e-05,3.96,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
424,centrar,3.66e-05,3.36,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
425,valorar,3.60e-05,4.03,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
426,conformar,3.60e-05,3.56,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
427,prohibir,3.59e-05,4.09,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
428,reportar,3.58e-05,3.74,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
429,fabricar,3.58e-05,3.85,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
431,saltar,3.53e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
432,finalizar,3.52e-05,4.11,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
433,besar,3.51e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
434,convenir,3.50e-05,2.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
435,disminuir,3.50e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
438,resistir,3.43e-05,4.01,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
439,tardar,3.43e-05,3.81,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
440,alejar,3.41e-05,3.54,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
441,dominar,3.41e-05,3.89,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
442,ampliar,3.38e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
443,oponer,3.37e-05,2.99,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
445,timar,3.34e-05,2.27,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
446,atrever,3.34e-05,2.23,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
447,editar,3.34e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
449,sonreír,3.32e-05,3.77,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
450,calcular,3.32e-05,3.95,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
452,confundir,3.31e-05,3.9,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
454,callar,3.29e-05,3.88,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
456,vestir,3.27e-05,4.01,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
457,proceder,3.26e-05,3.95,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
458,incrementar,3.26e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
459,despedir,3.26e-05,3.79,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
460,planear,3.25e-05,3.69,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
462,atravesar,3.20e-05,3.81,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
466,constar,3.17e-05,3.24,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
467,ejecutar,3.17e-05,4.09,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
468,citar,3.16e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
469,financiar,3.16e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
470,inscribir,3.16e-05,3.41,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
471,capturar,3.15e-05,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
473,liderar,3.14e-05,3.67,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
474,pintar,3.14e-05,4.07,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
475,traducir,3.12e-05,3.9,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
476,inventar,3.09e-05,3.86,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
477,elevar,3.07e-05,3.9,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
478,regalar,3.06e-05,3.86,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
479,saludar,3.05e-05,3.86,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
480,lavar,3.01e-05,4.05,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
481,provenir,3.01e-05,3.21,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
482,renovar,2.99e-05,3.93,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
483,ceder,2.99e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
485,repartir,2.95e-05,3.75,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
486,percibir,2.95e-05,3.73,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
487,apagar,2.93e-05,3.9,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
488,verificar,2.92e-05,4.1,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
489,administrar,2.92e-05,3.94,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
490,violar,2.92e-05,3.92,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
491,confesar,2.92e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
492,abordar,2.91e-05,4.02,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
494,proveer,2.88e-05,3.97,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
495,contemplar,2.87e-05,3.78,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
496,componer,2.86e-05,3.59,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
497,implementar,2.85e-05,4.06,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
498,contactar,2.85e-05,4.01,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
499,soltar,2.83e-05,3.89,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
500,experimentar,2.83e-05,3.91,"missing because the lexicon ranked verbs by the frequency of the infinitive spelling, not of the verb"
